review_text,recommended
"Love this dress! Perfect fit and super comfortable for all day wear.",1
"The fabric feels cheap and sizing is way off. Returned it.",0
"Great quality blouse. True to size and very stylish.",1
"Material is thin and see-through. Not worth the price.",0
"Absolutely perfect jeans! Comfortable fit and durable wash after wash.",1
"Pants were too tight in waist. Poor quality stitching.",0
"Beautiful sweater. Soft material and perfect for layering.",1
"Smells like chemicals and fabric pills after one wash.",0
"Fits like a glove! Best purchase this season.",1
"Color faded after first wash. Very disappointed.",0
"Stunning top! Got so many compliments wearing it.",1
"Uncomfortable material that irritated my skin.",0
"Perfect summer dress. Lightweight and breathable.",1
"Threads coming loose after 2 wears. Poor craftsmanship.",0
"Love the style! True to size and great fabric.",1
"Way too small and fabric feels rough.",0
"Elegant blouse that works for office or evenings.",1
"Shrinkage was horrible after washing. Ruined.",0
"Fantastic jacket! Warm but not bulky.",1
"Zippers don't work properly. Cheap construction.",0
"Adorable skirt! Perfect length and flattering fit.",1
"Material stretched out after one day.",0
"High quality pants. Professional look and feel.",1
"Buttons fell off immediately. Terrible quality.",0
"Comfortable and stylish. My new favorite shirt!",1
"Fabric is stiff and uncomfortable all day.",0
"Perfect little black dress for any occasion.",1
"Lining ripped on first wear. Unacceptable.",0
"Great cardigan! Soft and perfect weight.",1
"Seams started splitting after minimal use.",0
